,CO2 melting,CL melting,CO2 homog,H2O-NaCl melting,KCl melting,H2O melting
Standard,-56.6,10,31.1,-21.2,-10.5,0
3/12/2018,-59.2,10,31.5,-21.9,-10.9,-0.2
21/12/2018,-57.6,10,31.3,-22,-10.6,-0.1
7/01/2019,-57.8,10,31.1,-21.6,-11,-0.1
11/02/2019,-57.6,10,31.2,-21.7,-11.2,-0.2
20/02/2019,-56.9,10.1,31,-21.2,-10.7,-0.2
20/03/2019,-57,10.2,30.7,-21.4,-10.7,-0.2
24/04/2019,-56.8,10.1,31.1,-21.3,-10.8,0.1
26/04/2019,-57.1,10.2,31.1,-21.4,-11.3,-0.2
29/04/2019,-56.9,10.1,31.1,-21.2,-10.9,0
18/06/2019,-56.8,10.2,31.1,-21.1,-10.6,0
18/07/2019,-57.4,10,31,-21.3,-10.3,0
8/08/2019,-57.8,10,31.1,-21.4,-11.5,-0.1
27/07/2021,-58.1,10.1,31.2,-21.2,-10.8,-0.2
3/08/2021,-58,10,31.2,-21.2,-10.6,0
16/08/2021,-56.9,10.1,31,-21.4,-10.5,0
13/09/2021,-56.7,10.1,31.1,-21.1,-10.6,0
20/09/2021,-56.6,10.1,31.1,-21.2,-10.6,0.1
6/10/2021,-57.4,10.1,31.1,-21.3,-10.8,-0.1
13/10/2021,-56.9,10.1,31.1,-21.1,-10.7,0.1
21/10/2021,-57,10.1,31.1,-21.3,-10.9,0.1
28/10/2021,-56.9,10.1,31.1,-21.2,-10.7,0
18/11/2021,-57.5,10,31.1,-21.2,-10.7,0.1
2/02/2022,-56.6,10,31.1,-21.2,-10.5,0
